No.,Original No.,Page,Source PDF,Source Path,Question,Passage Reference,Question Image Reference,Choice A,Choice A Image Reference,Choice B,Choice B Image Reference,Choice C,Choice C Image Reference,Choice D,Choice D Image Reference,Choice E,Choice E Image Reference,Correct Answer,Explanation,LET Exam Type,Subject Area,Topic,Difficulty,Has Image,Duplicate Of,Confidence,Status,Notes
1,101,1,BSED English Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - English-/BSED English Part1.pdf,The poetry of Ezia Pound is best described,,,Philosophical,,Imagist,,Metaphysical,,Romantic,,,,B,Answer key: B,LET Secondary,English,Literature,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary English major. Correct answer sourced from source PDF answer key.
2,102,1,BSED English Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - English-/BSED English Part1.pdf,"To punish himself for murdering his father and having sexual relations with his mother, what did Oedipus do?",,,He castrated himself,,He killed himself,,He ordered his sons to murder him,,He gouged his eyes,,,,D,Answer key: D,LET Secondary,English,English,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary English major. Correct answer sourced from source PDF answer key.
3,103,1,BSED English Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - English-/BSED English Part1.pdf,What can be inferred from Iseneses “answer”?,,,She respects Creon,,She fears Creon,,She understands Creon,,She likes Creon,,,,B,Answer key: B,LET Secondary,English,Reading Comprehension,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary English major. Correct answer sourced from source PDF answer key.
4,104,1,BSED English Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - English-/BSED English Part1.pdf,Who is NOT a romantic poet?,,,William Blake,,John Milton,,Robert,,John Keats,,,,B,Answer key: B,LET Secondary,English,Literature,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary English major. Correct answer sourced from source PDF answer key.
5,105,1,BSED English Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - English-/BSED English Part1.pdf,The playwright who used the “alienation effect” in his plays to educate the audience and not merely to play upon their emotion is .,,,Herick Ibsen,,August Strendberg,,Bertolt Brecht,,Thomas Mann,,,,B,Answer key: B,LET Secondary,English,Literature,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary English major. Correct answer sourced from source PDF answer key.
6,106,1,BSED English Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - English-/BSED English Part1.pdf,"To read the sentences below at the LITERAL LEVEL: I could be forgiven a few siddity aris. In fact, a pretension to worldiness was expected of me, and I was too happy to disappoint. I should say",,,When the women returned home she pretended to be religious,,"And, why does she need to pretend?",,I have to get a dictionary to look up an unfamiliar word siddity,,I cannot understand why she has to use unfamiliar words.,,,,C,Answer key: C,LET Secondary,English,Grammar,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary English major. Correct answer sourced from source PDF answer key.
7,107,1,BSED English Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - English-/BSED English Part1.pdf,The Maranao stories about Pilandok are examples of .,,,Fantastic stories,,Creation myths,,Folk tales,,Folk epics,,,,C,Answer key: C,LET Secondary,English,English,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary English major. Correct answer sourced from source PDF answer key.
8,108,1,BSED English Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - English-/BSED English Part1.pdf,Which of the following epic is about the exploits of early Muslim warriors who fought in defense of Islam?,,,Indarapatra and Sulayman,,Bantugan,,Parang Sabu,,Darangan,,,,D,Answer key: D,LET Secondary,English,English,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary English major. Correct answer sourced from source PDF answer key.
9,109,1,BSED English Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - English-/BSED English Part1.pdf,Which book in the New Testament includes a vision of the end of the world and the second coming of Jesus?,,,Epistle of Hebrews,,Revelations,,Epistle of James,,Colossians,,,,B,Answer key: B,LET Secondary,English,English,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary English major. Correct answer sourced from source PDF answer key.
10,110,1,BSED English Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - English-/BSED English Part1.pdf,"Which of the following terms describes the subject matter, style, tone and attitude of the literature of ancient Greek and Rome?",,,Romanticism,,Realism,,Classicism,,Naturalism,,,,C,Answer key: C,LET Secondary,English,Literature,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary English major. Correct answer sourced from source PDF answer key.
