No.,Page,Source PDF,Question,Choice A,Choice B,Choice C,Choice D,Choice E if there is,Correct Answer,Explanation,Exam Type,Subject Category,Difficulty,Has Image,Image Reference,Status,Notes
1,1,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,"A tenant as awarded a house and lot package worth P 180, 000.00. She has to pay package for 20 years at 9% per annum. How much will the house and lot cost after 20 years?","604, 000","504, 000","704, 000","500, 00",,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
2,1,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,The student leader was suspended because:,He felt responsible for his deeds,He violated school regulation,He was motivated to rebel,He listened to the elders,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
3,1,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,"What should you do if the situation says, “what you spent years building may be destroyed overnight.”",Help people anyway,Build some anyway,Do away with things done,Do good anyway,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
4,1,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,What is the exponential function of Y = f (x)?,y = 2x – 1,y = 5x2,y = x-1,y = x-5,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
5,1,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,"A child was turned over to an orphanage requesting confidentiality of her parents. One day, the child demands the full disclosure of her mother’s name. She went to count. What was the right asserted in this case?",Right of an individual to have a real mother,Right of individuals to proper identity,Right of individual of parents to keep the confidentiality of the child’s parenteral name,Right of individuals to have parents,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
6,1,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Nobel Prize winners are chosen from different levels. Where was Pres. Quirino considered?,Politics,Literature,Human rights,Economics,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
7,1,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Religious instruction in public schools according to the Constitution should be:,with parent consent,invitational,compulsory,church organization,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
8,1,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,"Julio son is graduating. He sent his son three packages of 8 ½ kg, 10 ¼ and 2 ½ kg. What is the total of the packages sent?",20 ¼ kg,21 ¼ kg,18 ½ kg,23 2/2 kg,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
9,1,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Wild plants and animals that stay deposited for thousand of years are known for the source of:,Gas,mineral,oil,pearls,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
10,1,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Alin and tamang babala sa pagtatapon ng basura?,"Gamitin and basurahan sa inyong bahay, huwag dito",Dito and tambakan ng basura,Huwag mag-tapon ng basura dito,Huwag mag-ipon ng basura dito,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
11,1,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,"Every year, income taxes are filed by payer of 18 years and above. How do government and company workers pay their taxes?",Advance credit,Withholding taxes monthly,Salary deduction,Cash payment on march 15,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
12,1,5. LET GENERAL EDUCATION Q&A WITH ANSWER KEYS.pdf,Noong unang panahon ang madalas sa entablado ay:,balagtasan,pasyon,sarswela,drama,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared Gen Ed LET reviewer; answer key appears at the end of the PDF.
