No.,Original No.,Page,Source PDF,Source Path,Question,Passage Reference,Question Image Reference,Choice A,Choice A Image Reference,Choice B,Choice B Image Reference,Choice C,Choice C Image Reference,Choice D,Choice D Image Reference,Choice E,Choice E Image Reference,Correct Answer,Explanation,LET Exam Type,Subject Area,Topic,Difficulty,Has Image,Duplicate Of,Confidence,Status,Notes
1,1,1,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The most accurate tool for measuring electrical resistance is:,,,Ammeter,,Ohmmeter,,Voltmeter,,Wattmeter,,,,B,Ohmmeter. Measures resistance.,LET Secondary,Technology and Livelihood Education,Electrical and Electronics,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
2,2,1,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The standard unit of electrical power is:,,,Joule,,Watt,,Ampere,,Volt,,,,B,Watt. Unit of power.,LET Secondary,Technology and Livelihood Education,Technology-Vocational Teacher Education,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
3,3,1,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The symbol “⊥” in technical drawing indicates:,,,Tangent,,Perpendicular,,Parallel,,Horizontal,,,,B,Perpendicular. Symbol “⊥.”,LET Secondary,Technology and Livelihood Education,Industrial Arts and Drafting,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
4,4,1,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,A type of projection that shows an object as it appears to the eye:,,,Orthographic,,Isometric,,Pictorial,,Perspective,,,,D,Perspective. Shows objects realistically.,LET Secondary,Technology and Livelihood Education,Safety and Work Values,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
5,5,1,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The process of removing burrs after cutting metal is:,,,Filing,,Boring,,Polishing,,Grinding,,,,A,Filing. Removes sharp edges.,LET Secondary,Technology and Livelihood Education,Welding and Metalwork,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
6,6,1,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The tool used to draw parallel lines in drafting is:,,,Triangle,,T-square,,Compass,,Divider,,,,B,T-square. Draws parallel lines.,LET Secondary,Technology and Livelihood Education,Industrial Arts and Drafting,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
7,7,1,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The total resistance of three 6-ohm resistors in series is:,,,18 ohms,,2 ohms,,12 ohms,,6 ohms,,,,A,18 ohms. Series total = 6 + 6 + 6.,LET Secondary,Technology and Livelihood Education,Electrical and Electronics,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
8,8,1,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The component that stores electrical energy in a circuit:,,,Diode,,Capacitor,,Resistor,,Transistor,,,,B,Capacitor. Stores electrical charge.,LET Secondary,Technology and Livelihood Education,Electrical and Electronics,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
9,9,1,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The formula for calculating voltage is:,,,V = I / R,,V = I × R,,V = P / R,,V = P × I,,,,B,V = I × R. Ohm’s Law.,LET Secondary,Technology and Livelihood Education,Electrical and Electronics,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
10,10,1,BSED TVTED P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Technology-Vocational Teacher Education-/BSED TVTED P1.pdf,The ability of a material to resist scratching is called:,,,Hardness,,Toughness,,Elasticity,,Brittleness,,,,A,Hardness. Resistance to scratching.,LET Secondary,Technology and Livelihood Education,Technology-Vocational Teacher Education,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Technology-Vocational Teacher Education. Correct answer and rationale sourced from source PDF answer key.
