No.,Original No.,Page,Source PDF,Source Path,Question,Passage Reference,Question Image Reference,Choice A,Choice A Image Reference,Choice B,Choice B Image Reference,Choice C,Choice C Image Reference,Choice D,Choice D Image Reference,Choice E,Choice E Image Reference,Correct Answer,Explanation,LET Exam Type,Subject Area,Topic,Difficulty,Has Image,Duplicate Of,Confidence,Status,Notes
1,1,2,2. VALUES EDUCATION LET.pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/H. VALUES EDUCATION/2. VALUES EDUCATION LET.pdf,The Filipinos have constituted themselves into a nation – state to pursue the goal of social progress and total human liberation and development of their:,,,Intellectual dimension,,Political dimension,,Moral dimension,,Social dimension,,,,C,Correct answer sourced from the PDF answer key: C.,LET Secondary,Values Education,Values Education,3,No,,0.96,Ready for Upload,LET Secondary Values Education Q&A. Correct answer sourced from PDF answer key.
2,2,2,2. VALUES EDUCATION LET.pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/H. VALUES EDUCATION/2. VALUES EDUCATION LET.pdf,"The process of working out a sense of morality through the active structuring of one’s own social experiences, the outcome of which is a preference that is considered desirable or acceptable by a referent group:",,,Values analysis,,Values modification 3/19,,Moral development,,Values clarification,,,,C,Correct answer sourced from the PDF answer key: C.,LET Secondary,Values Education,Values Education,3,No,,0.96,Ready for Upload,LET Secondary Values Education Q&A. Correct answer sourced from PDF answer key.
3,3,3,2. VALUES EDUCATION LET.pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/H. VALUES EDUCATION/2. VALUES EDUCATION LET.pdf,"Children in this level or moral development conceive the “right” or the “moral” as the literal or strict obedience to rules, that they should submit to these rules as an obligation to power and authority to avoid punishment by elders:",,,The pre-conventional stage,,The heteronymous stage,,The pre-moral stage,,The autonomous stage,,,,D,Correct answer sourced from the PDF answer key: D.,LET Secondary,Values Education,Values Education,3,No,,0.96,Ready for Upload,LET Secondary Values Education Q&A. Correct answer sourced from PDF answer key.
4,4,3,2. VALUES EDUCATION LET.pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/H. VALUES EDUCATION/2. VALUES EDUCATION LET.pdf,"Value-laden ideas as that tells about the learners’ behavior such as his attitude, interest, aspirations, worries and beliefs:",,,Value indicators,,Valuing,,Creative goodwill,,Behavior indicators,,,,B,Correct answer sourced from the PDF answer key: B.,LET Secondary,Values Education,Values Education,3,No,,0.96,Ready for Upload,LET Secondary Values Education Q&A. Correct answer sourced from PDF answer key.
5,5,3,2. VALUES EDUCATION LET.pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/H. VALUES EDUCATION/2. VALUES EDUCATION LET.pdf,"In layman’s language, the term VALUE means one of the following:",,,To realize a certain urgent demand for something important,,For one or something is worth or what one prize in life 4/19,,To have power or vigor to do a specific thing,,Basic attitude and core beliefs,,,,B,Correct answer sourced from the PDF answer key: B.,LET Secondary,Values Education,Values Education,3,No,,0.96,Ready for Upload,LET Secondary Values Education Q&A. Correct answer sourced from PDF answer key.
6,6,4,2. VALUES EDUCATION LET.pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/H. VALUES EDUCATION/2. VALUES EDUCATION LET.pdf,Empowering the person’s will to do good is exercising in him called:,,,Fullness of truth,,Rationalization,,Love and fairness,,Freedom and responsibility,,,,A,Correct answer sourced from the PDF answer key: A.,LET Secondary,Values Education,Values Education,3,No,,0.96,Ready for Upload,LET Secondary Values Education Q&A. Correct answer sourced from PDF answer key.
7,7,4,2. VALUES EDUCATION LET.pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/H. VALUES EDUCATION/2. VALUES EDUCATION LET.pdf,"The deepest source of man’s most authentic actions, the most privileged place in which God speaks to him, and the highest peak of the person’s humanity called:",,,Practical judgment,,Spiritually,,Truth and goodness,,Consciousness or central sense,,,,C,Correct answer sourced from the PDF answer key: C.,LET Secondary,Values Education,Values Education,3,No,,0.96,Ready for Upload,LET Secondary Values Education Q&A. Correct answer sourced from PDF answer key.
8,8,4,2. VALUES EDUCATION LET.pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/H. VALUES EDUCATION/2. VALUES EDUCATION LET.pdf,"The valuing process as a teaching strategy focuses on aspects of one’s own life in general, understands without judging, pursues reflection and:",,,Focuses on a major approach,,Includes illustrating the strategy,,End with the limitation of the approach 5/19,,Develops thoughtful self-direction,,,,D,Correct answer sourced from the PDF answer key: D.,LET Secondary,Values Education,Values Education,3,No,,0.96,Ready for Upload,LET Secondary Values Education Q&A. Correct answer sourced from PDF answer key.
9,9,5,2. VALUES EDUCATION LET.pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/H. VALUES EDUCATION/2. VALUES EDUCATION LET.pdf,Developing more complex moral reasoning patterns through successive and sequential stages among learners may be best stimulated through the:,,,Moral development approach,,Cognitive development approach,,Developmental approach,,Moral dilemma strategy,,,,D,Correct answer sourced from the PDF answer key: D.,LET Secondary,Values Education,Values Education,3,No,,0.96,Ready for Upload,LET Secondary Values Education Q&A. Correct answer sourced from PDF answer key.
10,10,5,2. VALUES EDUCATION LET.pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/H. VALUES EDUCATION/2. VALUES EDUCATION LET.pdf,"The most flexible and effective strategy in encouraging a person to introspect about his thoughts and ideas, consider other alternatives, and arrive at a purposeful stance for himself and in relation to other called:",,,Discussion,,Moral dilemma,,Total person experimental learning,,Clarifying response,,,,B,Correct answer sourced from the PDF answer key: B.,LET Secondary,Values Education,Values Education,3,No,,0.96,Ready for Upload,LET Secondary Values Education Q&A. Correct answer sourced from PDF answer key.
