No.,Original No.,Page,Source PDF,Source Path,Question,Passage Reference,Question Image Reference,Choice A,Choice A Image Reference,Choice B,Choice B Image Reference,Choice C,Choice C Image Reference,Choice D,Choice D Image Reference,Choice E,Choice E Image Reference,Correct Answer,Explanation,LET Exam Type,Subject Area,Topic,Difficulty,Has Image,Duplicate Of,Confidence,Status,Notes
1,1,1,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The most important factor in designing a school workshop is:,,,Aesthetic appearance,,Safety and functionality,,Cost of materials,,Number of teachers,,,,B,Ensures a productive environment.,LET Secondary,Technology and Livelihood Education,Workshop Safety and Organization,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
2,2,1,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,A good workshop layout should ensure:,,,Long distance between machines,,Efficient workflow and safety,,Complex machine arrangement,,Isolation of all tools,,,,B,Proper layout principle.,LET Secondary,Technology and Livelihood Education,Workshop Safety and Organization,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
3,3,1,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The ideal floor material for workshops is:,,,Smooth tile,,Concrete with non-slip finish,,Wooden planks,,Carpet,,,,B,Safe flooring.,LET Secondary,Technology and Livelihood Education,Workshop Safety and Organization,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
4,4,1,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The recommended minimum spacing between machines is:,,,30 cm,,50 cm,,75 cm,,1 meter,,,,D,Ideal spacing for safety.,LET Secondary,Technology and Livelihood Education,Industrial Arts,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
5,5,1,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The best type of ventilation system for workshops is:,,,Air conditioning,,Natural and mechanical combination,,Ceiling fan only,,Exhaust fan only,,,,B,Best ventilation.,LET Secondary,Technology and Livelihood Education,Workshop Safety and Organization,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
6,6,1,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,A first aid kit in the workshop should be located:,,,Inside a locked cabinet,,In a visible and accessible place,,At the teacher’s desk only,,In the storage room,,,,B,Quick access during emergency.,LET Secondary,Technology and Livelihood Education,Workshop Safety and Organization,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
7,7,1,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,"In a woodworking shop, fire extinguishers should be of:",,,Class A,,Class B,,Class C,,Class D,,,,A,For ordinary combustibles like wood.,LET Secondary,Technology and Livelihood Education,Workshop Safety and Organization,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
8,8,1,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,Safety color “Yellow” in workshops signifies:,,,Danger,,Caution,,Safe condition,,Fire hazard,,,,B,Meaning of yellow color code.,LET Secondary,Technology and Livelihood Education,Workshop Safety and Organization,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
9,9,1,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,Workshop waste disposal should follow:,,,Random dumping,,Segregation and proper disposal,,Burning of all waste,,Burial of materials,,,,B,Promotes safety and cleanliness.,LET Secondary,Technology and Livelihood Education,Workshop Safety and Organization,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
10,10,1,BSED TLEd-IA P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Industrial Arts-/BSED TLEd-IA P1.pdf,The first step in accident prevention is:,,,Safety inspection,,Risk identification,,Reporting,,Investigation,,,,B,Basis for prevention.,LET Secondary,Technology and Livelihood Education,Workshop Safety and Organization,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
