No.,Original No.,Page,Source PDF,Source Type,Source Path,Question,Passage Reference,Question Image Reference,Choice A,Choice A Image Reference,Choice B,Choice B Image Reference,Choice C,Choice C Image Reference,Choice D,Choice D Image Reference,Choice E,Choice E Image Reference,Correct Answer,Explanation,LET Exam Type,Subject Area,Topic,Difficulty,Has Image,Duplicate Of,Confidence,Status,Notes
1,1,1,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,The Sir Francis Drake Channel is located _______ the British Virgin Island.,,,North,,South,,East,,Between,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.47,Needs Review,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
2,2,1,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,What name was given by the Chinese merchants in the country during the early days?,,,Xangley(s),,Lhasa Tibet,,Guilin,,Silk market,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
3,3,1,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,what is the famous Maranao bamboo dance?,,,balse,,Singkil,,Kandingan,,kuraldal,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
4,4,1,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,"Known as the ""Lahar Region"" of the country",,,SOCCSKSARGEN,,Northern Mindanao,,Ilocos Region,,Central Luzon,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
5,5,1,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,The largest lake in the Philippines,,,Iligan Bay,,San Pedro Bay,,Laguna de Bay,,Bacoor Bay,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
6,6,1,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,Body of water that lies south of the Philippines,,,Sibuyan Sea,,Samar Sea,,Celebes sea,,South China Sea,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
7,7,1,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,The world smallest shell found in the Philippines,,,Pisidium,,Tridacna Gigas,,Rafflesia arnoldii,,Hippocampus,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
8,8,1,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,The places below the equator is in the _____hemisphere.,,question_image_page_01_q8,Northern,,Southern,,Eastern,,Western,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,Yes,,0.47,Needs Image Extraction,Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects and the item has visual-reference language; crop must be reviewed/extracted manually.
9,9,1,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,the tobacco region of the country,,,Bukidnon,,Cagayan Valley,,Cotabato,,Zamboanga del Norte,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
10,10,1-2,SOCIAL SCIENCE REVIEWER A.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/F. SOCIAL SCIENCE - SOCIAL STUDIES/1. Drills A/SOCIAL SCIENCE REVIEWER A.pdf,the Philippines is almost as large as what European countries?,,,Hemisphere,,Equator,,Longitude,,Latitude,,,,,,LET Secondary,Social Studies,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary major/specialization source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
