No.,Original No.,Page,Source PDF,Source Path,Question,Passage Reference,Question Image Reference,Choice A,Choice A Image Reference,Choice B,Choice B Image Reference,Choice C,Choice C Image Reference,Choice D,Choice D Image Reference,Choice E,Choice E Image Reference,Correct Answer,Explanation,LET Exam Type,Subject Area,Topic,Difficulty,Has Image,Duplicate Of,Confidence,Status,Notes
1,1,1,BSED TLEd-HE P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Home Economics-/BSED TLEd-HE P1.pdf,The first step in developing a small business idea is to:,,,Write a business plan,,Identify market needs,,Secure capital,,Register the business,,,,B,Determines business opportunities.,LET Secondary,Technology and Livelihood Education,Entrepreneurship and Business Management,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
2,2,1,BSED TLEd-HE P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Home Economics-/BSED TLEd-HE P1.pdf,The financial record that shows all incoming and outgoing cash is called:,,,Balance sheet,,Income statement,,Cash flow statement,,Ledger,,,,C,Tracks cash movement in and out of business.,LET Secondary,Technology and Livelihood Education,Home Economics,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
3,3,1,BSED TLEd-HE P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Home Economics-/BSED TLEd-HE P1.pdf,What government agency issues business permits to sole proprietors?,,,DTI,,DOLE,,SEC,,TESDA,,,,A,Registers sole proprietorships.,LET Secondary,Technology and Livelihood Education,Entrepreneurship and Business Management,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
4,4,1,BSED TLEd-HE P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Home Economics-/BSED TLEd-HE P1.pdf,The person who takes financial risks to start a business is called a:,,,Manager,,Investor,,Entrepreneur,,Financier,,,,C,Takes risks and initiates business ventures.,LET Secondary,Technology and Livelihood Education,Entrepreneurship and Business Management,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
5,5,1,BSED TLEd-HE P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Home Economics-/BSED TLEd-HE P1.pdf,Which best describes “market segmentation”?,,,Studying consumer behavior,,Dividing the market into smaller groups,,Pricing products based on competition,,Advertising to all consumers,,,,B,Defines market segmentation.,LET Secondary,Technology and Livelihood Education,Entrepreneurship and Business Management,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
6,6,1,BSED TLEd-HE P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Home Economics-/BSED TLEd-HE P1.pdf,The total cost of producing goods or services is known as:,,,Investment,,Capital,,Product cost,,Operating expense,,,,C,"Includes materials, labor, and overhead.",LET Secondary,Technology and Livelihood Education,Entrepreneurship and Business Management,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
7,7,1,BSED TLEd-HE P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Home Economics-/BSED TLEd-HE P1.pdf,An effective advertisement must be:,,,Lengthy and detailed,,Creative and persuasive,,Expensive to produce,,Focused on the owner,,,,B,Effective advertisement quality.,LET Secondary,Technology and Livelihood Education,Entrepreneurship and Business Management,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
8,8,1,BSED TLEd-HE P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Home Economics-/BSED TLEd-HE P1.pdf,Which refers to the legal responsibility of repaying business debts?,,,Liability,,Asset,,Equity,,Capital,,,,A,Legal responsibility for debts.,LET Secondary,Technology and Livelihood Education,Entrepreneurship and Business Management,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
9,9,1,BSED TLEd-HE P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Home Economics-/BSED TLEd-HE P1.pdf,The purpose of bookkeeping is to:,,,Keep sales records,,Record all financial transactions,,Increase profits,,Audit employee performance,,,,B,Purpose of bookkeeping.,LET Secondary,Technology and Livelihood Education,Home Economics,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
10,10,1,BSED TLEd-HE P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - TLEd Home Economics-/BSED TLEd-HE P1.pdf,The part of the business plan that discusses competition is:,,,Marketing plan,,Financial plan,,Organizational plan,,Executive summary,,,,A,Discusses market competitors.,LET Secondary,Technology and Livelihood Education,Entrepreneurship and Business Management,3,No,,0.98,Ready for Upload,Path indicates BSED/Secondary. Correct answer and rationale sourced from source PDF answer key.
