No.,Source PDF,Source Path,Original No.,Page,Question,Choice A,Choice B,Choice C,Choice D,Choice E if there is,Correct Answer,Explanation,Exam Type,Subject Category,Topic Slug,Difficulty,Has Image,Image Reference,Image Path,Status,Notes
1,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,1,4,"If 1 + 2 + 3 + 4 + 5 + 6 + 7 + 8 + 9 + 10 = 55, then 11 + 12 + 13 + 14 + 15 + 16 + 17 + 18 + 19 + 20 = ?",65,155,125,550,,B,Correct answer is marked in red in the source PDF: B.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
2,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,2,4,Evaluate: 16 (24 8) 22× 8,40,48,64,168,,D,Correct answer is marked in red in the source PDF: D.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
3,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,3,4,Find the product: 800 x 125.,925,1000,10 000,100 000,,D,Correct answer is marked in red in the source PDF: D.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
4,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,4,4,Find the quotient: 8 000 125,48,64,80,88,,B,Correct answer is marked in red in the source PDF: B.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
5,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,5,4-5,Find the sum: 299 + 943 + 398 + 101,"1,531","1,641","1,741","122,222",,C,Correct answer is marked in red in the source PDF: C.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
6,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,6,5,"If 1 + 2 + 3 + 4 + 5 + 6 + 7 + 8 + 9 + 10 = 55, then 101 + 102 + 103 + 104 + 105 + 106 + 107 + 108 + 109 + 110 = ?","1,055","1,06",5,"1,07",,,,Both,Numerical Ability,word-problems,2,No,,,Needs Answer,"Word Problems and Operations. Could not uniquely map red answer text: a. 1,055 b. c. d. sub_topic:word-problems-sub"
7,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,7,5,What is t5he remainder when 192 888 is divided by 8?,"5,50 0",04 8 24,111,,,,,Both,Numerical Ability,word-problems,2,No,,,Needs Answer,Word Problems and Operations. Missing one or more A-D choices. Could not uniquely map red answer text: a. 0 b. c. d. sub_topic:word-problems-sub
8,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,8,5,"Rounding 299 943 to the nearest thousands, the result is",299 940,299 000,299 900,300 000,,D,Correct answer is marked in red in the source PDF: D.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
9,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,9,5,If 23 + 28 + 37 + x + 53 = 168 and 23 + 28 + 40 + y + 50 = 120. Find the value of x – y?,36,48,56,64,,B,Correct answer is marked in red in the source PDF: B.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
10,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,10,5-6,398.101 is read as,"three hundred ninety eight, one hundred one.",three hundred ninety eight and one hundred one.,three hundred ninety eight and one hundred one hundredths,three hundred ninety eight and one hundred one thousands,,D,Correct answer is marked in red in the source PDF: D.,Both,Numerical Ability,word-problems,2,No,,,Ready for Upload,Word Problems and Operations. sub_topic:word-problems-sub
