No.,Original No.,Page,Source PDF,Source Type,Source Path,Question,Passage Reference,Question Image Reference,Choice A,Choice A Image Reference,Choice B,Choice B Image Reference,Choice C,Choice C Image Reference,Choice D,Choice D Image Reference,Choice E,Choice E Image Reference,Correct Answer,Explanation,LET Exam Type,Subject Area,Topic,Difficulty,Has Image,Duplicate Of,Confidence,Status,Notes
1,1,1,ENGLISH  SUMMARY NOTES.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH  SUMMARY NOTES/ENGLISH  SUMMARY NOTES.pdf,"Phonology - studies the combination of sounds into organized units of speech, the combination of syllables and larger units.",,,"Phoneme is a distinctive, contrasted sound unit, e.g. /b/, /æ/, /g/. It is the smallest unit of sound of any language that causes a difference in meaning.",,Allophones are variants or other ways of producing a phoneme.,,,,,,,,,,LET Secondary,English,Needs Review,Cannot Determine,No,,0.47,Incomplete,"Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
2,2,1,ENGLISH  SUMMARY NOTES.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH  SUMMARY NOTES/ENGLISH  SUMMARY NOTES.pdf,Phonetics - studies language at the level of sounds: how sounds are articulated by the human speech mechanism.,,,,,,,,,,,,,,,LET Secondary,English,Needs Review,Cannot Determine,No,,0.47,Incomplete,"Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
3,3,1,ENGLISH  SUMMARY NOTES.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH  SUMMARY NOTES/ENGLISH  SUMMARY NOTES.pdf,Morphology - studies the patterns of forming words by combining sounds into minimal distinctive units of meanings called morphemes.,,,"Morpheme is a short segment of language which (1) is a word or word part that has meaning, (2) cannot be divided into smaller meaningful parts without violating its meaning, (3) recurs in different words with a relatively stable meaning.",,"Allomorphs - are morphs which belong to the same morpheme e.g., /s/, /z/, and /ez/ of the plural morpheme /s/ or /es/.",,"Free morphemes can stand on their own as independent words, e.g., beauty in beautifully, like in unlikely. Thus, they can occur in isolation.",,Bound morphemes cannot stand on their own as independent words. These morphemes are also called as affixes.,,"Inflectional morphemes never change the form class of the words or morphemes to which they are attached. They show person, tense, number, case, and degree. f. Derivational morphemes are added to root morphemes or stems to derive new words.",,,,LET Secondary,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
4,4,1,ENGLISH  SUMMARY NOTES.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH  SUMMARY NOTES/ENGLISH  SUMMARY NOTES.pdf,"Syntax - deals with how words combine to form phrases, clauses, and sentences, and studies the way phrases, clauses, and sentences are constructed.",,,Structure of predication -refers to the two components: subject and predicate,,Structure of complementation - has two basic elements: verbal and complement,,Structure of modification - includes two components: head word and modifier,,Structure of coordination - covers two components: equivalent grammatical units,,,,,,LET Secondary,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
5,5,1,ENGLISH  SUMMARY NOTES.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH  SUMMARY NOTES/ENGLISH  SUMMARY NOTES.pdf,Semantics - attempts to analyze the structure of meaning in language and deals with the level of meaning in language.,,,Lexical ambiguity - refers to the characteristic of a word that has more than one meaning.,,Syntactic ambiguity - refers to the characteristic of a phrase that has more than one meaning e.g. Filipino teacher.,,,,,,,,,,LET Secondary,English,Vocabulary,Cannot Determine,No,,0.47,Incomplete,"Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
6,6,1-2,ENGLISH  SUMMARY NOTES.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH  SUMMARY NOTES/ENGLISH  SUMMARY NOTES.pdf,Pragmatics - deals with the contextual aspects of meaning in particular situations; studies how language is used in real communication.,,,"Speech act theory - advances that every utterance consists of three separate acts (1) locutionary force - an act of saying something and describes what a speaker says, (2) illocutionary force - the act of doing something and what the speaker intends to do by uttering a sentence, and (3) perlocutionary act - an act of affecting someone; the effect on the hearer of what a speaker says.",,"Categories of illocutionary acts - refers to categories proposed by John Searle to group together closely related intentions for saying something: • Representative - stating, asserting, denying, confessing, admitting, notifying, concluding, predicting, etc. • Directive - requesting, ordering, forbidding, warning, advising, suggesting, insisting, recommending, etc. • Question -asking, inquiring, etc. • Commissive - promising, vowing, volunteering, offering, guaranteeing, pledging, betting, etc. • Expressive - apologizing, thanking, congratulating, condoling, welcoming, deploring, objecting, etc. 2 | LET REVIEWER UNIVERSITY • Declaration - appointing, naming, resigning, baptizing, surrendering, excommunicating, arresting, etc.",,,,,,,,,,LET Secondary,English,Vocabulary,Cannot Determine,No,,0.47,Incomplete,"Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
7,7,2-4,ENGLISH  SUMMARY NOTES.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH  SUMMARY NOTES/ENGLISH  SUMMARY NOTES.pdf,Discourse - studies chunks of language which are bigger than a single sentence.,,,Goals of Teaching Literature 1. Develop and/or extend literary competence. Jonathan Culler defines literary competence as the ability to internalize the ‘grammar’ of literature which would permit a reader to convert linguistic sequences into literary structures and meaning. 2. Develop and/or enhance learners’ imagination and creativity. 3. Develop students’ character and emotional maturity. 4. Develop creative thinking. 5. Develop literary appreciation and refine one’s reading taste.,,"Methods in Teaching Literature 1. Lecture Methods: formal, informal, straight recitation 2. Discussion Methods: pair work, buzz group, group work 3. Public Speaking Methods: memorizing, interpretive reading (Readers Theater, Chamber Theater), debate, panel forum 4 | LET REVIEWER UNIVERSITY 4. Audio-Visual Methods: using slides, transparencies, film, VCD, DVD, 5. Project Methods: scrapbook making, exhibit/diorama, dramatization, literary map, time line, video/audio scriptwriting 6. Field Research Methods: field trip, author interview",,The monitor hypothesis claims that conscious learning of grammatical rules has an extremely limited function in language performance: as a monitor or editor that checks output.,,"Language Teaching Implications 1. Language theories provide some basis for a particular teaching method or approach. • Structuralism / behaviorism has produced the audiolingual method (ALM), oral approach / situational language teaching, bottom-up text processing, controlled-to- free writing. 2. The cognitive learning theory results to the cognitive approach that puts language analysis before language use and instruction by the teacher, before the students practice forms. • Learning as a thinking process gives birth to cognitive-based and schema-enhancing strategies such as Directed Reading Thinking Activity, Story Grammar, Think-Aloud, etc. 3. The functional view of language introduced methods which are learner-centered, allowing learners to work in pairs or groups in information gap tasks and problem-solving activities where such communication strategies as information sharing, negotiation of meaning, and interaction are used. • These communication-based methods include the Communicative Language Teaching / Communicative Approach, Notional-Functional Approach, Natural Approach 4. Cognitive - affective has given rise to a holistic approach to language learning or whole person learning. It also includes the humanistic approach, allowing learners vocabulary for expressing, sharing and understanding one’s feelings, values, and needs. • The humanistic techniques cover Community Language Learning. II. LITERATURE",,"The affective filter hypothesis. Filter consists of attitude to language, motivation, self- confidence and anxiety. Learners with a low affective filter seek and receive more input, interact with confidence, and are more receptive to the input they are exposed to. • Teachers must continuously deliver at a level understandable by learners • Teaching must prepare the learners for real life communication situations • Teachers must ensure that learners do not become anxious or defensive in language learning. • Formal grammar teaching is of limited value because it contributes to learning rather than acquisition",,,,LET Secondary,English,Grammar,Cannot Determine,No,,0.72,Needs Answer,"Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
8,7,4,ENGLISH  SUMMARY NOTES.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH  SUMMARY NOTES/ENGLISH  SUMMARY NOTES.pdf,"Creative Writing Methods: journal writing, closure writing, team writing, writing workshop",,,,,,,Some Strategies and Techniques in Teaching Literature 1. Show and Tell and Blurb Writing- using the title and cover design 2. Movie Poster and Movie Trailer - transforming a literary piece into film 3. Writing Chapter Zero / Epilogue - writing a prequel or sequel 4. Mock Author Interview - assigning a student to play the role of the author 5. Biographical Montage - compiling authentic materials about the author 6. Graphic Representations - using sketching or other visual representations,,,,,,,,LET Secondary,English,Needs Review,Cannot Determine,No,,0.47,Incomplete,"Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
9,7,4,ENGLISH  SUMMARY NOTES.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH  SUMMARY NOTES/ENGLISH  SUMMARY NOTES.pdf,Sculpting - making a tableau or montage,,,,,,,,,,,,,,,LET Secondary,English,Needs Review,Cannot Determine,No,,0.47,Incomplete,"Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
10,8,4,ENGLISH  SUMMARY NOTES.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/A. ENGLISH/ENGLISH  SUMMARY NOTES/ENGLISH  SUMMARY NOTES.pdf,"Creative Conversation, Speech Balloons, or Thought Bubbles - supplying dialogues",,,,,,,,,,,,,,,LET Secondary,English,Needs Review,Cannot Determine,No,,0.47,Incomplete,"Path identifies a LET Secondary English major source. No answer key or embedded answer was matched for this item. Source page contains image objects, but no explicit visual dependency was detected for this item."
