No.,Original No.,Page,Source PDF,Source Type,Source Path,Question,Passage Reference,Question Image Reference,Choice A,Choice A Image Reference,Choice B,Choice B Image Reference,Choice C,Choice C Image Reference,Choice D,Choice D Image Reference,Choice E,Choice E Image Reference,Correct Answer,Explanation,LET Exam Type,Subject Area,Topic,Difficulty,Has Image,Duplicate Of,Confidence,Status,Notes
1,1,6,PPST.RP_Module-1.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/B. PROFESSIONAL EDUCATION/1. PHILIPPINE PROFESSIONAL STANDARDS FOR TEACHERS/PPST COMPLETE MODULES 1-24/PPST.RP_Module-1.pdf,1.2 Apply knowledge of content within and across curriculum teaching areas. MODULE 1,,,,,,,,,,,,,,,Both,Curriculum Development,Curriculum Models,Cannot Determine,No,,0.47,Incomplete,"Path identifies LET Professional Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently. Source page contains image objects, but no explicit visual dependency was detected for this item."
2,1,6,PPST.RP_Module-1.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/B. PROFESSIONAL EDUCATION/1. PHILIPPINE PROFESSIONAL STANDARDS FOR TEACHERS/PPST COMPLETE MODULES 1-24/PPST.RP_Module-1.pdf,4.2 Use a range of teaching strategies that enhance learner achievement in literacy and numeracy skills. MODULE 2,,,,,,,,,,,,,,,Both,Cannot Determine,Cannot Determine,Cannot Determine,No,,0.27,Incomplete,"Path identifies LET Professional Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently. Source page contains image objects, but no explicit visual dependency was detected for this item."
3,1,6,PPST.RP_Module-1.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/B. PROFESSIONAL EDUCATION/1. PHILIPPINE PROFESSIONAL STANDARDS FOR TEACHERS/PPST COMPLETE MODULES 1-24/PPST.RP_Module-1.pdf,"5.2 Apply a range of teaching strategies to develop critical and creative thinking, as well as other higher-order thinking skills. MODULE 3",,,,,,,,,,,,,,,Both,Cannot Determine,Cannot Determine,Cannot Determine,No,,0.27,Incomplete,"Path identifies LET Professional Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently. Source page contains image objects, but no explicit visual dependency was detected for this item."
4,2,6,PPST.RP_Module-1.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/B. PROFESSIONAL EDUCATION/1. PHILIPPINE PROFESSIONAL STANDARDS FOR TEACHERS/PPST COMPLETE MODULES 1-24/PPST.RP_Module-1.pdf,"3.2 Manage classroom structure to engage learners, individually or in groups, in meaningful exploration, discovery and hands-on activities within a range of physical learning environments. MODULE 4",,,,,,,,,,,,,,,Both,Cannot Determine,Cannot Determine,Cannot Determine,No,,0.27,Incomplete,"Path identifies LET Professional Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently. Source page contains image objects, but no explicit visual dependency was detected for this item."
5,2,6,PPST.RP_Module-1.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/B. PROFESSIONAL EDUCATION/1. PHILIPPINE PROFESSIONAL STANDARDS FOR TEACHERS/PPST COMPLETE MODULES 1-24/PPST.RP_Module-1.pdf,6.2 Manage learner behavior constructively by applying positive and non-violent discipline to ensure learning- focused environments. MODULE 5,,,,,,,,,,,,,,,Both,Cannot Determine,Educational Psychology,Cannot Determine,No,,0.27,Incomplete,"Path identifies LET Professional Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently. Source page contains image objects, but no explicit visual dependency was detected for this item."
6,3,6,PPST.RP_Module-1.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/B. PROFESSIONAL EDUCATION/1. PHILIPPINE PROFESSIONAL STANDARDS FOR TEACHERS/PPST COMPLETE MODULES 1-24/PPST.RP_Module-1.pdf,"1.2 Use differentiated, developmentally appropriate learning experiences to address learners’ gender, needs, strengths, interests and experiences. MODULE 6",,,,,,,,,,,,,,,Both,Cannot Determine,Cannot Determine,Cannot Determine,No,,0.27,Incomplete,"Path identifies LET Professional Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently. Source page contains image objects, but no explicit visual dependency was detected for this item."
7,4,6,PPST.RP_Module-1.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/B. PROFESSIONAL EDUCATION/1. PHILIPPINE PROFESSIONAL STANDARDS FOR TEACHERS/PPST COMPLETE MODULES 1-24/PPST.RP_Module-1.pdf,"1.2 Plan, manage and implement developmentally sequenced teaching and learning processes to meet curriculum requirements through various teaching contexts. MODULE 7",,,,,,,,,,,,,,,Both,Curriculum Development,Curriculum Models,Cannot Determine,No,,0.47,Incomplete,"Path identifies LET Professional Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently. Source page contains image objects, but no explicit visual dependency was detected for this item."
8,4,6,PPST.RP_Module-1.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/B. PROFESSIONAL EDUCATION/1. PHILIPPINE PROFESSIONAL STANDARDS FOR TEACHERS/PPST COMPLETE MODULES 1-24/PPST.RP_Module-1.pdf,4.2 Participate in collegial discussions that use teacher and learner feedback to enrich teaching practice. MODULE 8,,,,,,,,,,,,,,,Both,Cannot Determine,Cannot Determine,Cannot Determine,No,,0.27,Incomplete,"Path identifies LET Professional Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently. Source page contains image objects, but no explicit visual dependency was detected for this item."
9,4,6,PPST.RP_Module-1.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/B. PROFESSIONAL EDUCATION/1. PHILIPPINE PROFESSIONAL STANDARDS FOR TEACHERS/PPST COMPLETE MODULES 1-24/PPST.RP_Module-1.pdf,"5.2 Select, develop, organize and use appropriate teaching and learning resources, including ICT, to address learning goals. MODULE 9",,,,,,,,,,,,,,,Both,Information and Communication Technology,ICT in Education,Cannot Determine,No,,0.47,Incomplete,"Path identifies LET Professional Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently. Source page contains image objects, but no explicit visual dependency was detected for this item."
10,5,6,PPST.RP_Module-1.pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/B. PROFESSIONAL EDUCATION/1. PHILIPPINE PROFESSIONAL STANDARDS FOR TEACHERS/PPST COMPLETE MODULES 1-24/PPST.RP_Module-1.pdf,"1.2 Design, select, organize and use diagnostic, formative and summative assessment strategies consistent with curriculum requirements. MODULE 10",,,,,,,,,,,,,,,Both,Assessment of Learning,Assessment Tools,Cannot Determine,No,,0.47,Incomplete,"Path identifies LET Professional Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently. Source page contains image objects, but no explicit visual dependency was detected for this item."
