No.,Source PDF,Source Path,Original No.,Page,Question,Choice A,Choice B,Choice C,Choice D,Choice E if there is,Correct Answer,Explanation,Exam Type,Subject Category,Topic Slug,Difficulty,Has Image,Image Reference,Image Path,Status,Notes
1,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,1,2,"Abstract Reasoning Test 1, Question 1. Which figure completes the series?",Figure A,Figure B,Figure C,Figure D,,A,Answer key from source: A.,Both,Abstract Reasoning,series-completion,2,Yes,cse_abstract_2026_psychometric_test1_q01.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q01.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
2,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,2,2,"Abstract Reasoning Test 1, Question 2. Which figure completes the series?",Figure A,Figure B,Figure C,Figure D,,C,Answer key from source: C.,Both,Abstract Reasoning,series-completion,2,Yes,cse_abstract_2026_psychometric_test1_q02.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q02.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
3,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,3,2,"Abstract Reasoning Test 1, Question 3. Which figure completes the series?",Figure A,Figure B,Figure C,Figure D,,C,Answer key from source: C.,Both,Abstract Reasoning,series-completion,2,Yes,cse_abstract_2026_psychometric_test1_q03.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q03.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
4,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,4,2,"Abstract Reasoning Test 1, Question 4. Which figure completes the series?",Figure A,Figure B,Figure C,Figure D,,D,Answer key from source: D.,Both,Abstract Reasoning,series-completion,2,Yes,cse_abstract_2026_psychometric_test1_q04.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q04.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
5,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,5,2,"Abstract Reasoning Test 1, Question 5. Which figure completes the series?",Figure A,Figure B,Figure C,Figure D,,B,Answer key from source: B.,Both,Abstract Reasoning,series-completion,2,Yes,cse_abstract_2026_psychometric_test1_q05.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q05.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
6,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,6,3,"Abstract Reasoning Test 1, Question 6. Which figure completes the statement?",Figure A,Figure B,Figure C,Figure D,,B,Answer key from source: B.,Both,Abstract Reasoning,analogies,3,Yes,cse_abstract_2026_psychometric_test1_q06.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q06.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
7,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,7,3,"Abstract Reasoning Test 1, Question 7. Which figure completes the statement?",Figure A,Figure B,Figure C,Figure D,,C,Answer key from source: C.,Both,Abstract Reasoning,analogies,3,Yes,cse_abstract_2026_psychometric_test1_q07.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q07.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
8,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,8,3,"Abstract Reasoning Test 1, Question 8. Which figure completes the statement?",Figure A,Figure B,Figure C,Figure D,,D,Answer key from source: D.,Both,Abstract Reasoning,analogies,3,Yes,cse_abstract_2026_psychometric_test1_q08.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q08.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
9,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,9,3,"Abstract Reasoning Test 1, Question 9. Which figure completes the statement?",Figure A,Figure B,Figure C,Figure D,,A,Answer key from source: A.,Both,Abstract Reasoning,analogies,3,Yes,cse_abstract_2026_psychometric_test1_q09.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q09.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
10,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,10,4,"Abstract Reasoning Test 1, Question 10. Which figure completes the statement?",Figure A,Figure B,Figure C,Figure D,,C,Answer key from source: C.,Both,Abstract Reasoning,analogies,3,Yes,cse_abstract_2026_psychometric_test1_q10.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q10.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
11,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,11,4,"Abstract Reasoning Test 1, Question 11. Which figure is the odd one out?",Figure A,Figure B,Figure C,Figure D,Figure E,C,Answer key from source: C.,Both,Abstract Reasoning,odd-one-out,2,Yes,cse_abstract_2026_psychometric_test1_q11.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q11.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
12,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,12,4,"Abstract Reasoning Test 1, Question 12. Which figure is the odd one out?",Figure A,Figure B,Figure C,Figure D,Figure E,D,Answer key from source: D.,Both,Abstract Reasoning,odd-one-out,2,Yes,cse_abstract_2026_psychometric_test1_q12.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q12.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
13,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,13,4,"Abstract Reasoning Test 1, Question 13. Which figure is the odd one out?",Figure A,Figure B,Figure C,Figure D,Figure E,A,Answer key from source: A.,Both,Abstract Reasoning,odd-one-out,2,Yes,cse_abstract_2026_psychometric_test1_q13.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q13.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
14,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,14,4,"Abstract Reasoning Test 1, Question 14. Which figure is the odd one out?",Figure A,Figure B,Figure C,Figure D,Figure E,D,Answer key from source: D.,Both,Abstract Reasoning,odd-one-out,2,Yes,cse_abstract_2026_psychometric_test1_q14.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q14.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
15,Abstract Reasoning 1.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/ABSTRACT REASONING 2026/Abstract Reasoning 1.pdf,15,5,"Abstract Reasoning Test 1, Question 15. Which figure is the odd one out?",Figure A,Figure B,Figure C,Figure D,Figure E,E,Answer key from source: E.,Both,Abstract Reasoning,odd-one-out,2,Yes,cse_abstract_2026_psychometric_test1_q15.png,/Users/lyndon/reviewnatin/output/pdf/cse_abstract_reasoning_2026_images/cse_abstract_2026_psychometric_test1_q15.png,Ready for Upload,Psychometric Success abstract reasoning item. Question-specific crop includes the diagram and answer figures.
