No.,Original No.,Page,Source PDF,Source Path,Question,Passage Reference,Question Image Reference,Choice A,Choice A Image Reference,Choice B,Choice B Image Reference,Choice C,Choice C Image Reference,Choice D,Choice D Image Reference,Choice E,Choice E Image Reference,Correct Answer,Explanation,LET Exam Type,Subject Area,Topic,Difficulty,Has Image,Duplicate Of,Confidence,Status,Notes
1,1,1,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Ano ang kadalasang iminunkahing paraan sa pagbibigay-kahulugan sa mga termino sa isang pananalisik pangwika?,,,operasyunal,,Konseptual,,Teoretiakl,,Sayantifik,,,,A,,LET Secondary,Filipino,Wika at Gramatika,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
2,2,1,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Ano ang pagakakaiba ng malaya at di malayang baryabol ng isang pananalisik?,,,ang malaya baryabol ay mga sanhi samantalang and di malaya ay yaong kinalalabasan resulta o layunin ng isinigawang pag-aaral,,ang malaya ay napapalitan samantala ang di-malayang ay hindi,,ang malaya pansamantalang baryabol lamang samantala ang si-malaya ay permannente.,,"Ang malaya ay nabibilang at nakokompyut sa pamamagitan ng istatistika samantala, ang di-malaya ay nahihinuha o naipapalagay lamang.",,,,A,,LET Secondary,Filipino,Pananaliksik,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
3,3,1,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Kung nais na pag-aralan ang kauganayan ng kakayahang komukatibo ng mga mag-aaral sa kanilang propayl tulad ng eksposyur sa midya ay edukasyong natapos ng magulang anong desisyon pampananaliksik ang naangkop gamitin.,,,ekspiremental,,dokumentari Analisis,,pag-aaral korelasyunal,,pag-aaral ng kaso,,,,C,,LET Secondary,Filipino,Pananaliksik,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
4,4,1,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,"Uri ng panaliksik na itinuturing na may mas tumpak na tgalay na resulta bagaman may kaakibat na isyu hinggil sa relayabili nito. Kaya naman, kinakailanagan ang maingat na pagproseso lalo na sa pagpili at pagbuo ng pangkat na lalahok sa naturang gagawing pag-aaral upang matugunan at masolusyunan ang mga balakid o sagabal.",,,historical,,ekspiremental,,penomenolohikal,,Etnograpikal,,,,B,,LET Secondary,Filipino,Filipino,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
5,5,1,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,"Kung nais mong pag-aralan ang natamanog akademik performance ng mga mag-aaral sa balarila, anong instrument ang pinakaangkop mong gamitin tungo sa mas makabuluhang resuta o kalabasan?",,,sarbey,,intervyu,,projektib-tknik,,Pagsusulit,,,,D,,LET Secondary,Filipino,Pagtuturo ng Filipino,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
6,6,1,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Tukuyin ang estrathiyang pangkatang pampagkatuto ng natatampok batay sa mga sumusunod na hakbang ng ginagawa ng guro.,,,Think-Pair-Shair,,Roundrobin,,Reading Roulette,,Jigsaw Reading,,,,A,,LET Secondary,Filipino,Pagtuturo ng Filipino,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
7,7,1,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,"Ayon sa mga teorya ng kakayahang komunikatibo, ito ay lawak ng kasanayang na mapanatili ang komunikasyon o mabigyang lunas ang mga gap.",,,Gramatikal,,Sosyo-kultural,,Diskorsal,,Istratedjik,,,,D,,LET Secondary,Filipino,Wika at Gramatika,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
8,8,1,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Uri ng role play na maaring gamitin sa pagtuturo ng wika na kung sann hinid mahuhulaan ang sasambitin at itutugon ng mga kalahok hanggat hindi binibitawang ng bawat isa ang kanilang kataga sa dayalogong sasabihn.,,,Role play na kontrolado sa pamamagitan ng dayalaogong may cues,,Role play na kontrolado sa pamamagitan ng cues at impormasyon,,Role play na kontrolado sa pamamagitan ng sitwasyon at layunin,,Role play na kontrolado sa pamamagitan ng pagtatalo at talakayan,,,,C,,LET Secondary,Filipino,Pagtuturo ng Filipino,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
9,9,2,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,"Bahagi ng semantic web na kinapapalooban ng mga tunay na pangyayari, konklusyon o paglalahat ng nakuha ng mga mag-aaral mula sa kwentong binasa upang mabigyang kalinawan at katotohanan ang hibla at malaman ang kaibahan ng bawat isa/",,,Pamboud ng tanog ( core question),,Habeng panghiba ( web strand),,Hiblang panhusay (strand support),,Hiblang panatali (strands ties),,,,C,,LET Secondary,Filipino,Pagtuturo ng Filipino,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
10,10,2,BSED Filipino Part1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Filipino-/BSED Filipino Part1.pdf,Ang pangkat ng mag-aaral ng bahagi ng fishbowl teknik sa pagtuturo ng wika na silang nagtalakay sa aralin kaya’t kadalasa’y binibigyan ng guro ng mga patnubay na taong ang pangkat na ito.,,,Nucleus,,Outergroup,,Inner group,,Outermost group,,,,A,,LET Secondary,Filipino,Pagtuturo ng Filipino,3,No,,0.92,Ready for Upload,Path and PDF header indicate BSED/Secondary Filipino. Correct answer sourced from source PDF answer key.
