No.,Original No.,Page,Source PDF,Source Path,Question,Passage Reference,Question Image Reference,Choice A,Choice A Image Reference,Choice B,Choice B Image Reference,Choice C,Choice C Image Reference,Choice D,Choice D Image Reference,Choice E,Choice E Image Reference,Correct Answer,Explanation,LET Exam Type,Subject Area,Topic,Difficulty,Has Image,Duplicate Of,Confidence,Status,Notes
1,1,1,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The “Contemporary Philippine Arts from the Regions” subject primarily aims to:,,,Develop awareness of diverse regional art forms,,Focus only on national artists,,Teach Western art history,,Study classical music exclusively,,,,A,Answer key: Develop awareness of diverse regional art forms,LET Secondary,Culture and Arts Education,Contemporary and Digital Arts,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
2,2,1,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The medium of art used by performance artists is:,,,The artist’s body and actions,,Paint and brush,,Clay and wood,,Pen and ink,,,,A,Answer key: The artist’s body and actions,LET Secondary,Culture and Arts Education,Visual Arts and Design Principles,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
3,3,1,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,"The Philippine art form that combines music, dance, and drama is:",,,Theater,,Painting,,Literature,,Sculpture,,,,A,Answer key: Theater,LET Secondary,Culture and Arts Education,Visual Arts and Design Principles,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
4,4,1,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The “principle of emphasis” in art focuses on:,,,Highlighting the focal point of an artwork,,Repetition of patterns,,Using equal colors,,Avoiding contrasts,,,,A,Answer key: Highlighting the focal point of an artwork,LET Secondary,Culture and Arts Education,Visual Arts and Design Principles,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
5,5,1,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The “Mangyan script” in Mindoro is an example of:,,,Indigenous writing system,,Tribal music,,Folk art dance,,Sculpture,,,,A,Answer key: Indigenous writing system,LET Secondary,Culture and Arts Education,Indigenous and Regional Arts,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
6,6,1,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,“Digital art” uses which medium?,,,Computer and technology tools,,Clay and paint,,Wood and ink,,Stone,,,,A,Answer key: Computer and technology tools,LET Secondary,Culture and Arts Education,Contemporary and Digital Arts,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
7,7,1,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The “Ifugao rice terraces” are recognized by UNESCO as:,,,World Heritage Site,,National park,,Cultural reserve,,Tourist zone,,,,A,Answer key: World Heritage Site,LET Secondary,Culture and Arts Education,Cultural Heritage and Preservation,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
8,8,1,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,“Impressionism” is characterized by:,,,Visible brushstrokes and emphasis on light,,Geometric abstraction,,Monochrome tones,,Hard outlines,,,,A,Answer key: Visible brushstrokes and emphasis on light,LET Secondary,Culture and Arts Education,Culture and Arts Education,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
9,9,1,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The “principle of variety” adds:,,,Interest through diversity of elements,,Uniformity of shapes,,Monotony,,Equal balance,,,,A,Answer key: Interest through diversity of elements,LET Secondary,Culture and Arts Education,Visual Arts and Design Principles,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
10,10,1,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,Which festival showcases the “MassKara” parade?,,,Bacolod City,,Baguio City,,Cebu City,,Iloilo City,,,,A,Answer key: Bacolod City,LET Secondary,Culture and Arts Education,Philippine Festivals,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
11,11,2,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The “Salvador Dali” style of distorted reality is called:,,,Surrealism,,Realism,,Cubism,,Expressionism,,,,A,Answer key: Surrealism,LET Secondary,Culture and Arts Education,Culture and Arts Education,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
12,12,2,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,A painting that depicts Philippine daily life during the Spanish period shows:,,,Costumbrismo,,Abstraction,,Pop art,,Futurism,,,,A,Answer key: Costumbrismo,LET Secondary,Culture and Arts Education,Visual Arts and Design Principles,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
13,13,2,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The “Bahag” worn by indigenous men in the Cordillera is an example of:,,,Traditional attire,,Modern costume,,Imported fabric,,Fashion design,,,,A,Answer key: Traditional attire,LET Secondary,Culture and Arts Education,Indigenous and Regional Arts,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
14,14,2,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The organization that leads in art education development in the Philippines is:,,,DepEd,,NCCA,,DOLE,,CHED,,,,B,Answer key: NCCA,LET Secondary,Culture and Arts Education,Arts Education Pedagogy,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
15,15,2,BSED CAEd P1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - Culture and Arts Education-/BSED CAEd P1.pdf,The “principle of unity” in design means:,,,Harmony among all parts of an artwork,,Maximum contrast,,Random placement,,Equal repetition,,,,A,Answer key: Harmony among all parts of an artwork,LET Secondary,Culture and Arts Education,Visual Arts and Design Principles,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary Culture and Arts Education major. Correct answer sourced from source PDF answer key.
