No.,Original No.,Page,Source PDF,Source Type,Source Path,Question,Passage Reference,Question Image Reference,Choice A,Choice A Image Reference,Choice B,Choice B Image Reference,Choice C,Choice C Image Reference,Choice D,Choice D Image Reference,Choice E,Choice E Image Reference,Correct Answer,Explanation,LET Exam Type,Subject Area,Topic,Difficulty,Has Image,Duplicate Of,Confidence,Status,Notes
1,1,1,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,"Corruption in far provinces is reported in the radio and TV. I don’t agree with the report, so I say:",,,"No, it is not true.",,"Yes, it is true",,"Yes, it often is.",,"Yes, at times it is.",,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
2,2,1,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,A platoon leader ordered his troop to proceed. Which reply shows full compliance?,,,"Sir, yes, Sir!",,"Sir, we are about to go",,"Sir, Sir? Yes, Sir!",,"Sir, we are on leave.",,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
3,3,1,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,The DepEd Secretary Admits that text messaging keeps parents aware of their children’s whereabouts. He registered concern on the effects on:,,,Spelling of words,,Connect communication,,Structural distortions,,Vocabulary limitation,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
4,4,1,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,"After hearing the campaign commercial, a voter remarked, “I am used to the same tales.” This means:",,,This is very original,,There is nothing new in the story,,There is a miscommunication,,Vocabulary limitation,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
5,5,1,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,What is the meaning of this statement. “History never cited a leaderless nation.”,,,Nations can survive without leaders,,"A leader can fade away, but another will come up",,Leaders are always born,,Leaders are matched with Historical events,,,,,,Both,English,Vocabulary,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
6,6,1,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,Complete the statement using context clues. The flowers ________ in the spring.,,,Weaken,,Die,,Bloom,,Wither,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.47,Needs Review,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
7,7,1,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,The Philippine Basketball Team lambasted the Lebanese Basketball Team. This sentence means:,,,The Philippine Team welcomed the Lebanese,,The Philippine Team beat the Lebanese,,The Lebanese beat the Philippine Team,,The Philippine Team helped the Lebanese Team,,,,,,Both,English,Grammar,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
8,8,1-2,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,Traffic was heavy. Evann was afraid of not catching his flight so he ___________ with a taxi cab and jumped at the door.,,,Catch-up,,Caught-up,,Was watching,,"Has caugh 2 | ENGLISH - LET REVIEWER September 24, 2017",,,,,,Both,English,Needs Review,Cannot Determine,No,,0.47,Needs Review,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
9,9,2,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,Traffic enforcers wear brightly colored vests for them to be __________ as possible.,,,Courteous,,Covert,,Conspicuous,,Conscious,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.47,Needs Review,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
10,10,2,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,"In the _________, we could rely on our government officials.",,,Pass,,Past,,Fast,,Passed,,,,,,Both,English,Government,Cannot Determine,No,,0.47,Needs Review,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
11,11,2,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,The renaissance_____________ when scientific discoveries started:,,,Cited,,Flourished,,Ended,,Commenced,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.47,Needs Review,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
12,12,2,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,This theory of language learning and literacy views children capable of relating new information to prior knowledge.,,,Constructivist,,Sociolinguist,,Interactive,,Reader Response,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
13,13,2,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,"The activists exclaimed, “Join the mass demonstration!” What was asked of the listeners?",,,Sympathy for a cause,,Willingness to listen,,Pathy for a cause,,Avoidance of group action,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
14,14,2,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,"When a president is succeeded by another president, the former is referred to as:",,,Replaced,,Elected,,Deposed,,Dethroned,,,,,,Both,English,Government,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
15,15,2,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,Venus is an exemplification of feminine pulchritude. Pulchritude means:,,,Plain,,Beauty,,Ugliness,,Homeliness,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
16,16,2,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,"To HERALD primary economic and social innovations brought about by Science, means to:",,,End,,Proclaim,,Respond to,,Encourage,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
17,17,2-3,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,"Nowadays, mobile phone manufacturers have begun to AUTOMATE their assembly lines by using the concept of robotics. Automates means:",,,Assemble machines,,Operate through machines,,Produce more efficient cars,,"Operate through human workers 3 | ENGLISH - LET REVIEWER September 24, 2017",,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
18,18,3,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,The President is a LOQUACIOUS speaker. Loquacious means:,,,Taciturn,,Reserved,,Reticent,,Verbose,,,,,,Both,English,Government,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
19,19,3,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,There was a HIATUS of four years before she returned home to her country. Hiatus means:,,,Length,,Lapse,,Continuation,,Un- interruption,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
20,20,3,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,The pain of having a fractured bone is EXCRUCIATING. Excruciating means:,,,Mild,,Slight,,Unbearable,,Endurable,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.72,Needs Answer,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
21,21,3,01. ENGLISH - LET REVIEWER .pdf,pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/A. GENERAL EDUCATION/1. ENGLISH/01. ENGLISH - LET REVIEWER .pdf,Play directors use live music accompaniment to _________ the dramatic performances of the actors on stage.,,,Compliment,,Correct,,Complement,,Contemplate,,,,,,Both,English,Needs Review,Cannot Determine,No,,0.47,Needs Review,"Path identifies LET General Education, which applies to both Elementary and Secondary LET tracks. Answer key exists in source text but this item was not matched confidently."
