No.,Original No.,Page,Source PDF,Source Path,Question,Passage Reference,Question Image Reference,Choice A,Choice A Image Reference,Choice B,Choice B Image Reference,Choice C,Choice C Image Reference,Choice D,Choice D Image Reference,Choice E,Choice E Image Reference,Correct Answer,Explanation,LET Exam Type,Subject Area,Topic,Difficulty,Has Image,Duplicate Of,Confidence,Status,Notes
1,1,1,SPECIAL NEEDS ED. PART 1.pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/J. SPECIAL NEEDS EDUCATION/SPECIAL NEEDS ED. PART 1.pdf,Which law institutionalized inclusive education in the Philippines?,,,R.A. 7277,,R.A. 10533,,R.A. 9155,,R.A. 10157,,,,A,Correct answer sourced from the PDF answer key: A.,LET Secondary,Special Needs Education,Special Needs Education,3,No,,0.96,Ready for Upload,LET Secondary Special Needs Education Q&A. Correct answer sourced from PDF answer key.
2,2,1,SPECIAL NEEDS ED. PART 1.pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/J. SPECIAL NEEDS EDUCATION/SPECIAL NEEDS ED. PART 1.pdf,What is the main goal of Special Needs Education?,,,To isolate learners with disabilities,,To develop potential and ensure inclusion,,To prepare for advanced education,,To provide temporary placement,,,,B,Correct answer sourced from the PDF answer key: B.,LET Secondary,Special Needs Education,Special Needs Education,3,No,,0.96,Ready for Upload,LET Secondary Special Needs Education Q&A. Correct answer sourced from PDF answer key.
3,3,1,SPECIAL NEEDS ED. PART 1.pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/J. SPECIAL NEEDS EDUCATION/SPECIAL NEEDS ED. PART 1.pdf,A student with dyslexia has difficulty with:,,,Reading and word recognition,,Mathematics and computation,,Listening comprehension,,Verbal expression,,,,A,Correct answer sourced from the PDF answer key: A.,LET Secondary,Special Needs Education,Special Needs Education,3,No,,0.96,Ready for Upload,LET Secondary Special Needs Education Q&A. Correct answer sourced from PDF answer key.
4,4,1,SPECIAL NEEDS ED. PART 1.pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/J. SPECIAL NEEDS EDUCATION/SPECIAL NEEDS ED. PART 1.pdf,The least restrictive environment means:,,,Teaching students in hospitals,,Placing learners in regular classrooms whenever appropriate,,Full-time home instruction,,Separate schooling for all learners with disabilities,,,,B,Correct answer sourced from the PDF answer key: B.,LET Secondary,Special Needs Education,Special Needs Education,3,No,,0.96,Ready for Upload,LET Secondary Special Needs Education Q&A. Correct answer sourced from PDF answer key.
5,5,1,SPECIAL NEEDS ED. PART 1.pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/J. SPECIAL NEEDS EDUCATION/SPECIAL NEEDS ED. PART 1.pdf,The philosophy of inclusive education emphasizes:,,,Equal opportunities for all learners,,Academic competition,,Standardized testing,,Segregation based on ability,,,,A,Correct answer sourced from the PDF answer key: A.,LET Secondary,Special Needs Education,Special Needs Education,3,No,,0.96,Ready for Upload,LET Secondary Special Needs Education Q&A. Correct answer sourced from PDF answer key.
6,6,1,SPECIAL NEEDS ED. PART 1.pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/J. SPECIAL NEEDS EDUCATION/SPECIAL NEEDS ED. PART 1.pdf,"Which condition affects a person’s ability to see, even with correction?",,,Hearing impairment,,Visual impairment,,Speech impairment,,Learning disability,,,,B,Correct answer sourced from the PDF answer key: B.,LET Secondary,Special Needs Education,Special Needs Education,3,No,,0.96,Ready for Upload,LET Secondary Special Needs Education Q&A. Correct answer sourced from PDF answer key.
7,7,1,SPECIAL NEEDS ED. PART 1.pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/J. SPECIAL NEEDS EDUCATION/SPECIAL NEEDS ED. PART 1.pdf,What does “IEP” stand for in Special Education?,,,Inclusive Education Plan,,Individualized Education Program,,Individual Enhancement Process,,Integrated Education Policy,,,,B,Correct answer sourced from the PDF answer key: B.,LET Secondary,Special Needs Education,Special Needs Education,3,No,,0.96,Ready for Upload,LET Secondary Special Needs Education Q&A. Correct answer sourced from PDF answer key.
8,8,1,SPECIAL NEEDS ED. PART 1.pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/J. SPECIAL NEEDS EDUCATION/SPECIAL NEEDS ED. PART 1.pdf,Which of the following is an example of a learning disability?,,,ADHD,,Autism Spectrum Disorder,,Dyscalculia,,Cerebral Palsy,,,,C,Correct answer sourced from the PDF answer key: C.,LET Secondary,Special Needs Education,Special Needs Education,3,No,,0.96,Ready for Upload,LET Secondary Special Needs Education Q&A. Correct answer sourced from PDF answer key.
9,9,1,SPECIAL NEEDS ED. PART 1.pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/J. SPECIAL NEEDS EDUCATION/SPECIAL NEEDS ED. PART 1.pdf,"A child who moves constantly, interrupts, and struggles to focus may have:",,,ADHD,,Hearing impairment,,Dyslexia,,Visual impairment,,,,A,Correct answer sourced from the PDF answer key: A.,LET Secondary,Special Needs Education,Special Needs Education,3,No,,0.96,Ready for Upload,LET Secondary Special Needs Education Q&A. Correct answer sourced from PDF answer key.
10,10,1,SPECIAL NEEDS ED. PART 1.pdf,/Users/lyndon/All reviewers/-LET REVIEWER 2026/C. MAJOR SUBJECTS/J. SPECIAL NEEDS EDUCATION/SPECIAL NEEDS ED. PART 1.pdf,A child with exceptional ability in music is considered:,,,Gifted,,Physically impaired,,Autistic,,Dysgraphic Comprehensive LET Reviewer 2025/2026 LOVE Teach PH Reviewer,,,,A,Correct answer sourced from the PDF answer key: A.,LET Secondary,Special Needs Education,Special Needs Education,3,No,,0.96,Ready for Upload,LET Secondary Special Needs Education Q&A. Correct answer sourced from PDF answer key.
