No.,Original No.,Page,Source PDF,Source Path,Question,Passage Reference,Question Image Reference,Choice A,Choice A Image Reference,Choice B,Choice B Image Reference,Choice C,Choice C Image Reference,Choice D,Choice D Image Reference,Choice E,Choice E Image Reference,Correct Answer,Explanation,LET Exam Type,Subject Area,Topic,Difficulty,Has Image,Duplicate Of,Confidence,Status,Notes
1,1,1,BSED General Science A.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - General Science-/BSED General Science A.pdf,The rate of change of velocity is known as:,,,Speed,,Displacement,,Acceleration,,Momentum,,,,C,Change in velocity per time.,LET Secondary,General Science,Mechanics,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary General Science major. Correct answer sourced from source PDF answer key.
2,2,1,BSED General Science A.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - General Science-/BSED General Science A.pdf,Which of the following quantities is a vector?,,,Speed,,Distance,,Time,,Velocity,,,,D,Has both magnitude and direction.,LET Secondary,General Science,Mechanics,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary General Science major. Correct answer sourced from source PDF answer key.
3,3,1,BSED General Science A.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - General Science-/BSED General Science A.pdf,The area under a velocity-time graph represents:,,,Speed,,Acceleration,,Distance,,Momentum,,,,C,Area under velocity-time graph.,LET Secondary,General Science,Chemistry,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary General Science major. Correct answer sourced from source PDF answer key.
4,4,1,BSED General Science A.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - General Science-/BSED General Science A.pdf,The law of conservation of energy states that:,,,Energy can be destroyed,,Energy can be created,,Energy cannot be created nor destroyed,,Energy is always lost,,,,C,Law of conservation of energy.,LET Secondary,General Science,General Science,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary General Science major. Correct answer sourced from source PDF answer key.
5,5,1,BSED General Science A.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - General Science-/BSED General Science A.pdf,The wavelength of a wave is the distance between:,,,Two troughs,,Two crests,,Both A and B,,Crest and equilibrium,,,,C,Crest-to-crest or trough-to-trough.,LET Secondary,General Science,Waves and Optics,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary General Science major. Correct answer sourced from source PDF answer key.
6,6,1,BSED General Science A.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - General Science-/BSED General Science A.pdf,The number of valence electrons in carbon is:,,,2,,4,,6,,8,,,,B,Carbon has four valence electrons.,LET Secondary,General Science,Atomic and Nuclear Physics,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary General Science major. Correct answer sourced from source PDF answer key.
7,7,1,BSED General Science A.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - General Science-/BSED General Science A.pdf,Which of the following is a noble gas?,,,Oxygen,,Nitrogen,,Neon,,Hydrogen,,,,C,A noble gas.,LET Secondary,General Science,General Science,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary General Science major. Correct answer sourced from source PDF answer key.
8,8,1,BSED General Science A.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - General Science-/BSED General Science A.pdf,Acids have a pH range of:,,,7–14,,0–6,,6–8,,8–14,,,,B,Acidic pH range.,LET Secondary,General Science,Chemistry,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary General Science major. Correct answer sourced from source PDF answer key.
9,9,1,BSED General Science A.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - General Science-/BSED General Science A.pdf,The bond formed by sharing of electrons is called:,,,Ionic bond,,Covalent bond,,Metallic bond,,Hydrogen bond,,,,B,Involves electron sharing.,LET Secondary,General Science,Atomic and Nuclear Physics,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary General Science major. Correct answer sourced from source PDF answer key.
10,10,2,BSED General Science A.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/L. BSED - General Science-/BSED General Science A.pdf,"In a chemical reaction, the substances formed are called:",,,Reactants,,Products,,Catalysts,,Solutes,,,,B,Formed from reactants.,LET Secondary,General Science,Chemistry,3,No,,0.98,Ready for Upload,Path and PDF header indicate BSED/Secondary General Science major. Correct answer sourced from source PDF answer key.
